"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SC26RRI7","preprint","2024","Patrikar, Jay; Veer, Sushant; Sharma, Apoorva; Pavone, Marco; Scherer, Sebastian","RuleFuser: An Evidential Bayes Approach for Rule Injection in Imitation Learned Planners for Robustness under Distribution Shifts","","","","","http://arxiv.org/abs/2405.11139","Modern motion planners for autonomous driving frequently use imitation learning (IL) to draw from expert driving logs. Although IL benefits from its ability to glean nuanced and multi-modal human driving behaviors from large datasets, the resulting planners often struggle with out-of-distribution (OOD) scenarios and with traffic rule compliance. On the other hand, classical rule-based planners, by design, can generate safe traffic rule compliant behaviors while being robust to OOD scenarios, but these planners fail to capture nuances in agent-to-agent interactions and human drivers' intent. RuleFuser, an evidential framework, combines IL planners with classical rule-based planners to draw on the complementary benefits of both, thereby striking a balance between imitation and safety. Our approach, tested on the real-world nuPlan dataset, combines the IL planner's high performance in in-distribution (ID) scenarios with the rule-based planners' enhanced safety in out-of-distribution (OOD) scenarios, achieving a 38.43% average improvement on safety metrics over the IL planner without much detriment to imitation metrics in OOD scenarios.","2024-08-08","2024-09-14 19:23:48","2024-09-14 19:23:48","2024-09-14 19:22:50","","","","","","","RuleFuser","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2405.11139 [cs]","","/Users/jaypatrikar/Zotero/storage/EHUHLGAY/Patrikar et al. - 2024 - RuleFuser An Evidential Bayes Approach for Rule Injection in Imitation Learned Planners for Robustn.pdf; /Users/jaypatrikar/Zotero/storage/CZ2INYPA/2405.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2405.11139","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJI93FR9","conferencePaper","2024","Jacinto, Marcelo; Pinto, João; Patrikar, Jay; Keller, John; Cunha, Rita; Scherer, Sebastian; Pascoal, António","Pegasus simulator: An isaac sim framework for multiple aerial vehicles simulation","2024 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","https://ieeexplore.ieee.org/abstract/document/10556959/","","2024","2024-09-14 19:23:48","2024-09-21 00:02:51","2024-09-14 19:22:51","917–922","","","","","","Pegasus simulator","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/V4RQHK7G/Jacinto et al. - 2024 - Pegasus simulator An isaac sim framework for multiple aerial vehicles simulation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45E6H7FV","preprint","2024","Patrikar, Jay; Dantas, Joao; Moon, Brady; Hamidi, Milad; Ghosh, Sourish; Keetha, Nikhil; Higgins, Ian; Chandak, Atharva; Yoneyama, Takashi; Scherer, Sebastian","TartanAviation: Image, Speech, and ADS-B Trajectory Datasets for Terminal Airspace Operations","","","","","http://arxiv.org/abs/2403.03372","We introduce TartanAviation, an open-source multi-modal dataset focused on terminal-area airspace operations. TartanAviation provides a holistic view of the airport environment by concurrently collecting image, speech, and ADS-B trajectory data using setups installed inside airport boundaries. The datasets were collected at both towered and non-towered airfields across multiple months to capture diversity in aircraft operations, seasons, aircraft types, and weather conditions. In total, TartanAviation provides 3.1M images, 3374 hours of Air Traffic Control speech data, and 661 days of ADS-B trajectory data. The data was filtered, processed, and validated to create a curated dataset. In addition to the dataset, we also open-source the code-base used to collect and pre-process the dataset, further enhancing accessibility and usability. We believe this dataset has many potential use cases and would be particularly vital in allowing AI and machine learning technologies to be integrated into air traffic control systems and advance the adoption of autonomous aircraft in the airspace.","2024-03-05","2024-09-14 19:23:48","2024-09-21 00:02:56","2024-09-14 19:22:53","","","","","","","TartanAviation","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2403.03372 [cs]","","/Users/jaypatrikar/Zotero/storage/9QU45IKV/Patrikar et al. - 2024 - TartanAviation Image, Speech, and ADS-B Trajectory Datasets for Terminal Airspace Operations.pdf; /Users/jaypatrikar/Zotero/storage/XNYKVB99/2403.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2403.03372","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BU5KGMUZ","journalArticle","2024","Navarro, Ingrid; Patrikar, Jay; Dantas, Joao PA; Baijal, Rohan; Higgins, Ian; Scherer, Sebastian; Oh, Jean","SoRTS: Learned Tree Search for Long Horizon Social Robot Navigation","IEEE Robotics and Automation Letters","","","","https://ieeexplore.ieee.org/abstract/document/10449372/","","2024","2024-09-14 19:23:48","2024-09-21 00:02:55","2024-09-14 19:23:00","","","","","","","SoRTS","","","","","","","","","","","","Google Scholar","","Publisher: IEEE","","/Users/jaypatrikar/Zotero/storage/Z5VYBJDP/Navarro et al. - 2024 - SoRTS Learned Tree Search for Long Horizon Social Robot Navigation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MM88G5UL","preprint","2023","Hu, Yafei; Xie, Quanting; Jain, Vidhi; Francis, Jonathan; Patrikar, Jay; Keetha, Nikhil; Kim, Seungchan; Xie, Yaqi; Zhang, Tianyi; Zhao, Shibo; Chong, Yu Quan; Wang, Chen; Sycara, Katia; Johnson-Roberson, Matthew; Batra, Dhruv; Wang, Xiaolong; Scherer, Sebastian; Kira, Zsolt; Xia, Fei; Bisk, Yonatan","Toward General-Purpose Robots via Foundation Models: A Survey and Meta-Analysis","","","","","http://arxiv.org/abs/2312.08782","Building general-purpose robots that can operate seamlessly, in any environment, with any object, and utilizing various skills to complete diverse tasks has been a long-standing goal in Artificial Intelligence. Unfortunately, however, most existing robotic systems have been constrained - having been designed for specific tasks, trained on specific datasets, and deployed within specific environments. These systems usually require extensively-labeled data, rely on task-specific models, have numerous generalization issues when deployed in real-world scenarios, and struggle to remain robust to distribution shifts. Motivated by the impressive open-set performance and content generation capabilities of web-scale, large-capacity pre-trained models (i.e., foundation models) in research fields such as Natural Language Processing (NLP) and Computer Vision (CV), we devote this survey to exploring (i) how these existing foundation models from NLP and CV can be applied to the field of robotics, and also exploring (ii) what a robotics-specific foundation model would look like. We begin by providing an overview of what constitutes a conventional robotic system and the fundamental barriers to making it universally applicable. Next, we establish a taxonomy to discuss current work exploring ways to leverage existing foundation models for robotics and develop ones catered to robotics. Finally, we discuss key challenges and promising future directions in using foundation models for enabling general-purpose robotic systems. We encourage readers to view our living GitHub repository of resources, including papers reviewed in this survey as well as related projects and repositories for developing foundation models for robotics.","2023-12-15","2024-09-14 19:23:48","2024-09-21 00:02:59","2024-09-14 19:23:02","","","","","","","Toward General-Purpose Robots via Foundation Models","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2312.08782 [cs]","","/Users/jaypatrikar/Zotero/storage/Q2YYCPF2/Hu et al. - 2023 - Toward General-Purpose Robots via Foundation Models A Survey and Meta-Analysis.pdf; /Users/jaypatrikar/Zotero/storage/GLEYXV3I/2312.html","","","Computer Science - Artificial Intelligence; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2312.08782","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2D6IQ4M","conferencePaper","2024","Navarro, Ingrid; Ortega, Pablo; Patrikar, Jay; Wang, Haichuan; Ye, Zelin; Park, Jong Hoon; Oh, Jean; Scherer, Sebastian","AmeliaTF: A Large Model and Dataset for Airport Surface Movement Forecasting","AIAA AVIATION FORUM AND ASCEND 2024","","","","https://arc.aiaa.org/doi/abs/10.2514/6.2024-4251","","2024","2024-09-14 19:23:48","2024-09-21 00:02:28","2024-09-14 19:23:03","4251","","","","","","AmeliaTF","","","","","","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/NQF3W97R/Navarro et al. - 2024 - AmeliaTF A Large Model and Dataset for Airport Surface Movement Forecasting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGDX247H","preprint","2023","He, Yao; Cisneros, Ivan; Keetha, Nikhil; Patrikar, Jay; Ye, Zelin; Higgins, Ian; Hu, Yaoyu; Kapoor, Parv; Scherer, Sebastian","FoundLoc: Vision-based Onboard Aerial Localization in the Wild","","","","","http://arxiv.org/abs/2310.16299","Robust and accurate localization for Unmanned Aerial Vehicles (UAVs) is an essential capability to achieve autonomous, long-range flights. Current methods either rely heavily on GNSS, face limitations in visual-based localization due to appearance variances and stylistic dissimilarities between camera and reference imagery, or operate under the assumption of a known initial pose. In this paper, we developed a GNSS-denied localization approach for UAVs that harnesses both Visual-Inertial Odometry (VIO) and Visual Place Recognition (VPR) using a foundation model. This paper presents a novel vision-based pipeline that works exclusively with a nadir-facing camera, an Inertial Measurement Unit (IMU), and pre-existing satellite imagery for robust, accurate localization in varied environments and conditions. Our system demonstrated average localization accuracy within a $20$-meter range, with a minimum error below $1$ meter, under real-world conditions marked by drastic changes in environmental appearance and with no assumption of the vehicle's initial pose. The method is proven to be effective and robust, addressing the crucial need for reliable UAV localization in GNSS-denied environments, while also being computationally efficient enough to be deployed on resource-constrained platforms.","2023-10-24","2024-09-14 19:23:48","2024-09-21 00:02:44","2024-09-14 19:23:05","","","","","","","FoundLoc","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2310.16299 [cs]","","/Users/jaypatrikar/Zotero/storage/I2BWNVS4/He et al. - 2023 - FoundLoc Vision-based Onboard Aerial Localization in the Wild.pdf; /Users/jaypatrikar/Zotero/storage/624YL53W/2310.html","","","Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2310.16299","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKMJNIRG","conferencePaper","2023","Aloor, Jasmine Jerry; Patrikar, Jay; Kapoor, Parv; Oh, Jean; Scherer, Sebastian","Follow the rules: Online signal temporal logic tree search for guided imitation learning in stochastic domains","2023 IEEE International Conference on Robotics and Automation (ICRA)","","","","https://ieeexplore.ieee.org/abstract/document/10160953/","","2023","2024-09-14 19:23:48","2024-09-21 00:02:43","2024-09-14 19:23:12","1320–1326","","","","","","Follow the rules","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/ZEWXMPCE/Aloor et al. - 2023 - Follow the rules Online signal temporal logic tree search for guided imitation learning in stochast.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62ZRB2GY","conferencePaper","2023","Ghosh, Sourish; Patrikar, Jay; Moon, Brady; Hamidi, Milad Moghassem; Scherer, Sebastian","AirTrack: Onboard deep learning framework for long-range aircraft detection and tracking","2023 IEEE International Conference on Robotics and Automation (ICRA)","","","","https://ieeexplore.ieee.org/abstract/document/10160627/","","2023","2024-09-14 19:23:48","2024-09-21 00:02:27","2024-09-14 19:23:15","1277–1283","","","","","","AirTrack","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/jaypatrikar/Zotero/storage/65PTP9XG/Ghosh et al. - 2023 - AirTrack Onboard deep learning framework for long-range aircraft detection and tracking.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PINDNQ5P","preprint","2022","Patrikar, Jay; Dantas, Joao P. A.; Ghosh, Sourish; Kapoor, Parv; Higgins, Ian; Aloor, Jasmine J.; Navarro, Ingrid; Sun, Jimin; Stoler, Ben; Hamidi, Milad; Baijal, Rohan; Moon, Brady; Oh, Jean; Scherer, Sebastian","Challenges in Close-Proximity Safe and Seamless Operation of Manned and Unmanned Aircraft in Shared Airspace","","","","","http://arxiv.org/abs/2211.06932","We propose developing an integrated system to keep autonomous unmanned aircraft safely separated and behave as expected in conjunction with manned traffic. The main goal is to achieve safe manned-unmanned vehicle teaming to improve system performance, have each (robot/human) teammate learn from each other in various aircraft operations, and reduce the manning needs of manned aircraft. The proposed system anticipates and reacts to other aircraft using natural language instructions and can serve as a co-pilot or operate entirely autonomously. We point out the main technical challenges where improvements on current state-of-the-art are needed to enable Visual Flight Rules to fully autonomous aerial operations, bringing insights to these critical areas. Furthermore, we present an interactive demonstration in a prototypical scenario with one AI pilot and one human pilot sharing the same terminal airspace, interacting with each other using language, and landing safely on the same runway. We also show a demonstration of a vision-only aircraft detection system.","2022-11-13","2024-09-14 19:23:48","2024-09-21 00:02:33","2024-09-14 19:23:18","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2211.06932 [cs]","","/Users/jaypatrikar/Zotero/storage/QABNV9KH/Patrikar et al. - 2022 - Challenges in Close-Proximity Safe and Seamless Operation of Manned and Unmanned Aircraft in Shared.pdf; /Users/jaypatrikar/Zotero/storage/2UEDMK7H/2211.html","","","Computer Science - Robotics","","","","","","","","","","","","","","","","","","","arXiv:2211.06932","","","","","","","","","","","","","","","","","","","","","","","","","","",""
